"tract","Name","Population_Density_in_2010"
6075012502,"Tenderloin, San Francisco, CA",159208
6075012401,"Tenderloin, San Francisco, CA",140972
6075012201,"Tenderloin, San Francisco, CA",126861
6075012501,"Tenderloin, San Francisco, CA",102596
6075011901,"Lower Nob Hill, San Francisco, CA",100333
6075012302,"San Francisco, CA",85361
6075012202,"Tenderloin, San Francisco, CA",82944
6075011300,"Chinatown, San Francisco, CA",80590
6075012100,"Lower Nob Hill, San Francisco, CA",79854
6075012000,"Lower Nob Hill, San Francisco, CA",79854
6075010700,"Russian Hill, San Francisco, CA",78761
6075012301,"Tenderloin, San Francisco, CA",75944
6075011902,"Lower Nob Hill, San Francisco, CA",72167
6075011800,"Chinatown, San Francisco, CA",68182
6075013101,"Pacific Heights, San Francisco, CA",56881
6075011100,"Nob Hill, San Francisco, CA",54358
6075010600,"North Beach, San Francisco, CA",54083
6075010800,"Nob Hill, San Francisco, CA",52621
6075011000,"Nob Hill, San Francisco, CA",51903
6075020800,"Mission District, San Francisco, CA",49082
6075022901,"Mission District, San Francisco, CA",48333
6075011200,"Nob Hill, San Francisco, CA",48324
6075020200,"Mission Dolores, San Francisco, CA",47855
6075061100,"Chinatown, San Francisco, CA",46312
6075016300,"Western Addition, San Francisco, CA",45189
6075010900,"Russian Hill, San Francisco, CA",45000
6075015802,"North of the Panhandle, San Francisco, CA",44924
6075017801,"South of Market, San Francisco, CA",42157
6075022803,"Mission District, San Francisco, CA",42156
6075022902,"Mission District, San Francisco, CA",41540
6075016000,"Fillmore District, San Francisco, CA",40410
6075016802,"Hayes Valley, San Francisco, CA",39325
6075026404,"Visitacion Valley, San Francisco, CA",39055
6075020700,"Mission Dolores, San Francisco, CA",38590
6075016600,"Haight-Ashbury, San Francisco, CA",38402
6075015900,"Fillmore District, San Francisco, CA",38158
6075016100,"Western Addition, San Francisco, CA",37789
6075026001,"Excelsior, San Francisco, CA",37344
6075015100,"Western Addition, San Francisco, CA",37209
6075010300,"Russian Hill, San Francisco, CA",37038
6075016801,"Lower Haight, San Francisco, CA",36568
6075012901,"Marina District, San Francisco, CA",36529
6075015200,"Lower Pacific Heights, San Francisco, CA",36426
6075020900,"Mission District, San Francisco, CA",36132
6075020100,"Mission District, San Francisco, CA",35884
6075016500,"San Francisco, CA",35545
6075012601,"Marina District, San Francisco, CA",35288
6075010400,"North Beach, San Francisco, CA",34962
6075021000,"Mission District, San Francisco, CA",34678
6075026301,"Crocker-Amazon, San Francisco, CA",34331
6075045100,"Balboa Hollow, San Francisco, CA",33757
6075042700,"Central Richmond, San Francisco, CA",33709
6075026004,"Excelsior, San Francisco, CA",33192
6075042601,"Central Richmond, San Francisco, CA",32628
6075026003,"Excelsior, San Francisco, CA",31870
6075016400,"Western Addition, San Francisco, CA",31748
6075030101,"Inner Sunset, San Francisco, CA",31590
6075030202,"Inner Sunset, San Francisco, CA",31482
6075017601,"South of Market, San Francisco, CA",31270
6075031201,"Ingleside, San Francisco, CA",31146
6075047701,"Central Richmond, San Francisco, CA",30957
6075026401,"Visitacion Valley, San Francisco, CA",30636
6075017102,"Ashbury Heights, San Francisco, CA",30272
6075060502,"Sunnydale, San Francisco, CA",30056
6075035202,"Outer Sunset, San Francisco, CA",30014
6075015500,"Japantown, San Francisco, CA",29934
6075025300,"Bernal Heights, San Francisco, CA",29473
6075017101,"Ashbury Heights, San Francisco, CA",29289
6075013000,"Cow Hollow, San Francisco, CA",28681
6075012402,"Civic Center, San Francisco, CA",28590
6075013102,"Pacific Heights, San Francisco, CA",28533
6075045200,"Balboa Hollow, San Francisco, CA",28395
6075030201,"Inner Sunset, San Francisco, CA",28259
